Status,Ticket ID,Priority,Source,Topic,Agent Group,Agent Name,Created time,Expected SLA to resolve,Expected SLA to first response,First response time,SLA For first response,Resolution time,SLA For Resolution,Close time,Agent interactions,Survey results,Product group,Support Level,Country
Closed,1,High,Email,General Inquiry,Security,Khalid Al-Rashid,04-07-2024 12.42,04-07-2024 14.42,04-07-2024 13.12,04-07-2024 13.02,Met,04-07-2024 14.30,Met,04-07-2024 14.32,5,Neutral,Cloud,L3,Oman
Closed,2,High,Chat,Network Issue,Customer Service,Ahmed Al-Nasser,23-05-2024 20.03,23-05-2024 22.03,23-05-2024 20.33,23-05-2024 20.25,Met,23-05-2024 22.00,Met,23-05-2024 22.05,4,Dissatisfied,Cloud,L2,Qatar
In Progress,3,Low,Phone,General Inquiry,Development,Mohammed Al-Hamdan,13-04-2024 20.51,14-04-2024 0.51,13-04-2024 21.51,13-04-2024 21.41,Met,14-04-2024 0.57,Not Met,14-04-2024 0.51,3,Dissatisfied,Software,L1,Bahrain
Resolved,4,Critical,Chat,Access Request,Development,Mohammed Al-Hamdan,13-05-2024 12.50,13-05-2024 13.50,13-05-2024 13.00,13-05-2024 12.50,Met,13-05-2024 13.48,Met,13-05-2024 13.53,5,Dissatisfied,Network,L2,Kuwait
Closed,5,Critical,Portal,Hardware Failure,Customer Service,Hassan Al-Rashid,19-06-2024 22.51,19-06-2024 23.51,19-06-2024 23.01,19-06-2024 23.00,Met,19-06-2024 23.49,Met,19-06-2024 23.54,4,Neutral,Hardware,L3,Qatar
In Progress,6,Medium,Email,Network Issue,Customer Service,Ahmed Al-Salem,19-04-2024 3.41,19-04-2024 6.41,19-04-2024 4.26,19-04-2024 4.39,Not Met,19-04-2024 6.55,Not Met,19-04-2024 6.36,1,Dissatisfied,Software,L3,Qatar
New,7,Critical,Portal,Access Request,Security,Yousef Al-Khalifa,10-06-2024 7.16,10-06-2024 8.16,10-06-2024 7.26,10-06-2024 7.16,Met,10-06-2024 8.04,Met,10-06-2024 8.05,1,Satisfied,Software,L2,Bahrain
In Progress,8,High,Portal,General Inquiry,Network Ops,Abdullah Al-Rashid,09-04-2024 9.55,09-04-2024 11.55,09-04-2024 10.25,09-04-2024 10.17,Met,09-04-2024 11.42,Met,09-04-2024 11.42,1,Dissatisfied,Cloud,L1,UAE
Open,9,Medium,Chat,Access Request,Network Ops,Ali Al-Khalifa,10-05-2024 23.28,11-05-2024 2.28,11-05-2024 0.13,11-05-2024 0.09,Met,11-05-2024 2.11,Met,11-05-2024 2.16,2,Neutral,Hardware,L3,Saudi Arabia
Open,10,Critical,Portal,Network Issue,Customer Service,Saif Al-Rashid,10-06-2024 6.48,10-06-2024 7.48,10-06-2024 6.58,10-06-2024 6.55,Met,10-06-2024 7.29,Met,10-06-2024 7.33,3,Dissatisfied,Network,L2,Kuwait
Closed,11,Critical,Phone,General Inquiry,IT Support,Ali Al-Khalifa,16-05-2024 1.33,16-05-2024 2.33,16-05-2024 1.43,16-05-2024 1.58,Not Met,16-05-2024 2.26,Met,16-05-2024 2.29,3,Dissatisfied,Cloud,L2,Qatar
Closed,12,Medium,Phone,Access Request,IT Support,Fahad Al-Farsi,20-07-2024 2.48,20-07-2024 5.48,20-07-2024 3.33,20-07-2024 3.30,Met,20-07-2024 5.40,Met,20-07-2024 5.40,2,Neutral,Network,L2,Bahrain
Open,13,Critical,Chat,Hardware Failure,IT Support,Mohammed Al-Hamdan,10-08-2024 2.56,10-08-2024 3.56,10-08-2024 3.06,10-08-2024 3.06,Met,10-08-2024 3.44,Met,10-08-2024 3.48,5,Dissatisfied,Hardware,L2,Kuwait
New,14,High,Email,Network Issue,Development,Abdullah Al-Rashid,15-07-2024 1.46,15-07-2024 3.46,15-07-2024 2.16,15-07-2024 2.14,Met,15-07-2024 3.29,Met,15-07-2024 3.30,3,Dissatisfied,Software,L3,Qatar
In Progress,15,Low,Chat,General Inquiry,Development,Abdullah Al-Rashid,09-08-2024 9.41,09-08-2024 13.41,09-08-2024 10.41,09-08-2024 10.35,Met,09-08-2024 13.35,Met,09-08-2024 13.38,5,Satisfied,Hardware,L1,Saudi Arabia
New,16,High,Email,Software Bug,Security,Khalid Al-Rashid,30-05-2024 2.09,30-05-2024 4.09,30-05-2024 2.39,30-05-2024 2.53,Not Met,30-05-2024 3.49,Met,30-05-2024 3.52,1,Satisfied,Network,L3,Saudi Arabia
Closed,17,High,Portal,Software Bug,Network Ops,Fahad Al-Rashid,25-05-2024 2.26,25-05-2024 4.26,25-05-2024 2.56,25-05-2024 2.56,Met,25-05-2024 4.22,Met,25-05-2024 4.25,2,Dissatisfied,Software,L2,UAE
Resolved,18,Medium,Portal,Hardware Failure,Security,Abdullah Al-Farsi,24-06-2024 18.34,24-06-2024 21.34,24-06-2024 19.19,24-06-2024 19.11,Met,24-06-2024 21.27,Met,24-06-2024 21.29,4,Dissatisfied,Software,L1,Saudi Arabia
New,19,Medium,Phone,Network Issue,Network Ops,Saif Al-Khalifa,05-08-2024 8.52,05-08-2024 11.52,05-08-2024 9.37,05-08-2024 9.31,Met,05-08-2024 11.38,Met,05-08-2024 11.39,4,Satisfied,Network,L2,Qatar
In Progress,20,Medium,Chat,Access Request,Customer Service,Hassan Al-Hamdan,20-07-2024 13.26,20-07-2024 16.26,20-07-2024 14.11,20-07-2024 14.31,Not Met,20-07-2024 16.12,Met,20-07-2024 16.16,1,Satisfied,Network,L1,Qatar
Closed,21,High,Chat,Software Bug,Security,Mohammed Al-Hamdan,23-06-2024 12.13,23-06-2024 14.13,23-06-2024 12.43,23-06-2024 12.39,Met,23-06-2024 14.12,Met,23-06-2024 14.14,4,Dissatisfied,Software,L3,UAE
Closed,22,Medium,Portal,Software Bug,IT Support,Yousef Al-Khalifa,09-05-2024 23.25,10-05-2024 2.25,10-05-2024 0.10,10-05-2024 0.01,Met,10-05-2024 2.13,Met,10-05-2024 2.18,5,Dissatisfied,Hardware,L3,Oman
Closed,23,Critical,Phone,Access Request,Network Ops,Fahad Al-Rashid,05-05-2024 12.31,05-05-2024 13.31,05-05-2024 12.41,05-05-2024 12.41,Met,05-05-2024 13.23,Met,05-05-2024 13.25,2,Dissatisfied,Network,L2,UAE
Open,24,Critical,Email,Hardware Failure,IT Support,Ali Al-Khalifa,05-05-2024 3.28,05-05-2024 4.28,05-05-2024 3.38,05-05-2024 3.36,Met,05-05-2024 4.10,Met,05-05-2024 4.15,5,Satisfied,Network,L1,Oman
Open,25,High,Email,Hardware Failure,Security,Abdullah Al-Rashid,20-06-2024 20.04,20-06-2024 22.04,20-06-2024 20.34,20-06-2024 20.32,Met,20-06-2024 21.55,Met,20-06-2024 21.57,3,Neutral,Cloud,L1,Kuwait
Closed,26,Medium,Email,Hardware Failure,Network Ops,Omar Al-Salem,08-08-2024 11.13,08-08-2024 14.13,08-08-2024 11.58,08-08-2024 11.58,Met,08-08-2024 14.00,Met,08-08-2024 14.00,1,Satisfied,Software,L3,Bahrain
Open,27,Critical,Chat,Network Issue,Network Ops,Abdullah Al-Rashid,01-07-2024 10.55,01-07-2024 11.55,01-07-2024 11.05,01-07-2024 10.58,Met,01-07-2024 11.44,Met,01-07-2024 11.49,2,Dissatisfied,Cloud,L3,Kuwait
Resolved,28,Critical,Portal,Software Bug,Customer Service,Ahmed Al-Salem,23-04-2024 6.24,23-04-2024 7.24,23-04-2024 6.34,23-04-2024 6.39,Not Met,23-04-2024 7.12,Met,23-04-2024 7.16,4,Dissatisfied,Cloud,L2,Bahrain
In Progress,29,Medium,Portal,Hardware Failure,Customer Service,Abdullah Al-Rashid,15-04-2024 1.24,15-04-2024 4.24,15-04-2024 2.09,15-04-2024 2.00,Met,15-04-2024 4.06,Met,15-04-2024 4.08,5,Satisfied,Cloud,L2,UAE
Closed,30,High,Portal,Network Issue,Network Ops,Ali Al-Khalifa,22-04-2024 18.39,22-04-2024 20.39,22-04-2024 19.09,22-04-2024 19.02,Met,22-04-2024 20.39,Met,22-04-2024 20.40,2,Neutral,Hardware,L3,Qatar
In Progress,31,High,Phone,Access Request,Security,Mohammed Al-Rashid,19-07-2024 13.43,19-07-2024 15.43,19-07-2024 14.13,19-07-2024 14.08,Met,19-07-2024 15.32,Met,19-07-2024 15.36,5,Satisfied,Hardware,L1,Saudi Arabia
Closed,32,Low,Phone,Access Request,Network Ops,Khalid Al-Farsi,11-04-2024 0.27,11-04-2024 4.27,11-04-2024 1.27,11-04-2024 1.25,Met,11-04-2024 4.20,Met,11-04-2024 4.20,3,Satisfied,Cloud,L1,Saudi Arabia
Closed,33,High,Portal,Network Issue,IT Support,Abdullah Al-Rashid,19-05-2024 5.33,19-05-2024 7.33,19-05-2024 6.03,19-05-2024 5.53,Met,19-05-2024 7.31,Met,19-05-2024 7.32,5,Neutral,Software,L1,Saudi Arabia
Resolved,34,Low,Phone,Software Bug,Customer Service,Mohammed Al-Hamdan,28-07-2024 23.51,29-07-2024 3.51,29-07-2024 0.51,29-07-2024 0.46,Met,29-07-2024 3.41,Met,29-07-2024 3.41,3,Satisfied,Hardware,L2,Oman
Resolved,35,Low,Portal,Software Bug,Security,Ahmed Al-Salem,27-04-2024 12.17,27-04-2024 16.17,27-04-2024 13.17,27-04-2024 13.08,Met,27-04-2024 15.58,Met,27-04-2024 16.00,2,Satisfied,Hardware,L2,Oman
Open,36,High,Phone,General Inquiry,Development,Khalid Al-Rashid,01-07-2024 0.02,01-07-2024 2.02,01-07-2024 0.32,01-07-2024 0.46,Not Met,01-07-2024 1.55,Met,01-07-2024 1.55,1,Neutral,Software,L2,UAE
New,37,Critical,Email,Software Bug,IT Support,Omar Al-Mansoori,21-07-2024 13.25,21-07-2024 14.25,21-07-2024 13.35,21-07-2024 13.32,Met,21-07-2024 14.15,Met,21-07-2024 14.19,2,Neutral,Software,L1,Qatar
Resolved,38,Critical,Portal,General Inquiry,Security,Mohammed Al-Rashid,20-07-2024 12.10,20-07-2024 13.10,20-07-2024 12.20,20-07-2024 12.14,Met,20-07-2024 12.57,Met,20-07-2024 12.58,5,Satisfied,Software,L1,Oman
New,39,Low,Portal,Hardware Failure,Customer Service,Khalid Al-Rashid,04-08-2024 0.59,04-08-2024 4.59,04-08-2024 1.59,04-08-2024 1.50,Met,04-08-2024 4.53,Met,04-08-2024 4.55,3,Satisfied,Network,L1,Bahrain
